# Logfile created on 2026-03-25 22:52:28 +0100 by logger.rb/v1.5.3
2026-03-25 22:52:28 +0100: Memory Usage (436828K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/HPA.gds
2026-03-25 22:52:28 +0100: Memory Usage (436828K) : Ruby Version for klayout: 3.2.3
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : Loading database to memory is complete.
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/drc_run_HPA/HPA_HPA_lbe.lyrdb
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : Evaluate switches.
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : tables selected: lbe
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : flat mode is enabled.
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : FEOL enabled: false
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : BEOL enabled: false
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : OFFGRID enabled: true
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : PIN enabled: false
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : FORBIDDEN enabled: false
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : RECOMMENDED enabled: true
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : PreCheck DRC enabled: false
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 22:52:28 +0100: Memory Usage (438632K) : Read in polygons from layers.
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : activ_drw has 198 polygons
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : activ_pin has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : activ_mask has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : activ_filler has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : activ_nofill has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : activ_opc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : activ_iopc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : activ_noqrc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : biwind_drw has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : biwind_opc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (441252K) : pemwind_drw has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (442512K) : gatpoly_drw has 108 polygons
2026-03-25 22:52:29 +0100: Memory Usage (442512K) : gatpoly_pin has 124 polygons
2026-03-25 22:52:29 +0100: Memory Usage (442512K) : gatpoly_filler has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (442512K) : gatpoly_nofill has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (442512K) : gatpoly_opc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (442512K) : gatpoly_iopc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (442512K) : gatpoly_noqrc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448844K) : cont_drw has 16803 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448844K) : cont_opc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448844K) : nsd_drw has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448844K) : nsd_block has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448844K) : metal1_drw has 390 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448844K) : metal1_pin has 515 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448844K) : metal1_mask has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448844K) : metal1_filler has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal1_nofill has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal1_slit has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal1_text has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal1_opc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal1_noqrc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal1_res has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal1_iprobe has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal1_diffprb has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : passiv_drw has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : passiv_pin has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : passiv_sbump has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : passiv_pillar has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : passiv_pdl has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal2_drw has 95 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal2_pin has 11 polygons
2026-03-25 22:52:29 +0100: Memory Usage (448884K) : metal2_mask has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449136K) : metal2_filler has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449136K) : metal2_nofill has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449136K) : metal2_slit has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449136K) : metal2_text has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449136K) : metal2_opc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449136K) : metal2_noqrc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449136K) : metal2_res has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449200K) : metal2_iprobe has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449200K) : metal2_diffprb has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449264K) : baspoly_drw has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449264K) : baspoly_pin has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449264K) : psd_drw has 24 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449264K) : nldb_drw has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (449264K) : digibnd_drw has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451372K) : via1_drw has 9590 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451480K) : backmetal1_drw has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451480K) : backmetal1_pin has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451480K) : backmetal1_mask has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451544K) : backmetal1_filler has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451544K) : backmetal1_nofill has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451544K) : backmetal1_slit has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451544K) : backmetal1_text has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451544K) : backmetal1_opc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451544K) : backmetal1_noqrc has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451544K) : backmetal1_res has 0 polygons
2026-03-25 22:52:29 +0100: Memory Usage (451544K) : backmetal1_iprobe has 0 polygons
